rater,clean_name,mean_tvd,fit_score,n_vars
nemo_5,Nemo v5,0.233018302500505,0.766981697499495,47
Nemo_2,Nemo v2,0.249397748241339,0.750602251758661,47
mistralai_mistral-nemo_OLD,Mistral Nemo (Old),0.252261195210802,0.747738804789198,47
mistralai_mistral-nemo,Mistral Nemo,0.252261195210802,0.747738804789198,47
Nemo_v3,Nemo v3,0.270096789756215,0.729903210243785,47
Dom Nemo v2,Dom Nemo v2,0.304609273392967,0.695390726607033,47
nemo_4,Nemo v4,0.342118096537801,0.657881903462199,47
dom nemo,Dom Nemo,0.385336346075512,0.614663653924488,47
